`380.`:united_nations:`JayKayGame            5`
`380.`:flag_ca:`valley172             5`
`380.`:flag_mk:`Bogdan_mk             5`
`380.`:flag_us:`Bokonon_Lives         5`
`380.`:flag_us:`barchun               5`
`380.`:flag_us:`Keeganator            5`
`380.`:flag_us:`randomidiot13         5`
`380.`:flag_us:`Odme_                 5`
`380.`:flag_us:`PeytThaDawg           5`
`412.`:flag_ro:`duckle                4`
`412.`:flag_id:`aeryuu                4`
`412.`:flag_fr:`Awake                 4`
`412.`:flag_no:`Lezt                  4`
`412.`:flag_us:`BreadForBrunch        4`
`412.`:flag_gb:`Purple                4`
`412.`:flag_us:`Bloon                 4`
`412.`:flag_us:`ZeeGee_               4`
`412.`:flag_ru:`alex2007              4`
`412.`:flag_us:`ThePKing              4`
`412.`:flag_ca:`tridenttail           4`
`412.`:flag_ca:`P4ntz                 4`
`412.`:flag_im:`epicdorito            4`
`412.`:flag_mx:`GhostSenpai           4`
`412.`:flag_us:`eddiecatgaming        4`
`412.`:flag_nl:`Kinnin11              4`
`412.`:united_nations:`RantronBomb           4`
`412.`:flag_ru:`Brian                 4`
`412.`:flag_ca:`Vidtendo              4`
`412.`:flag_fr:`NewNickName0          4`
`412.`:united_nations:`Pessimism             4`
`412.`:united_nations:`Zuhiy                 4`
`412.`:flag_us:`Solderq35             4`
`412.`:flag_us:`Turtlespyder          4`
`412.`:flag_us:`quane                 4`
`437.`:flag_hu:`Raid104               3`
`437.`:flag_us:`GLand                 3`
`437.`:flag_jp:`Rupa                  3`
`437.`:flag_us:`Perna64               3`
`437.`:flag_us:`themorgue             3`
`437.`:flag_il:`Yarmiplay             3`
`437.`:flag_us:`mrcab55               3`
`437.`:flag_ca:`MannedTooth           3`
`437.`:flag_us:`Pidgey                3`
`437.`:flag_us:`NinjaDelphox          3`
`437.`:flag_ar:`revolucion            3`
`437.`:flag_us:`Msbmteam              3`
`437.`:flag_fr:`xerneas-yveltal       3`
`437.`:flag_jp:`Tonkotsu              3`
`437.`:flag_us:`Thomastd              3`
`437.`:flag_au:`Tinonb                3`
`437.`:flag_us:`Caidren               3`
`437.`:flag_gb:`Pezzah                3`
`437.`:flag_us:`robthegamer115        3`
`437.`:flag_vn:`hypv                  3`
`437.`:flag_ie:`Dark_Matter9997       3`
`437.`:flag_us:`meleewaluigi          3`
`437.`:flag_eu:`1                     3`
`437.`:flag_pt:`WindMark              3`
`437.`:flag_us:`starsmiley            3`
`437.`:flag_hk:`SlowRunnerVM          3`
`463.`:flag_de:`Nordicboa             2`
`463.`:flag_us:`DlemmoR               2`
`463.`:flag_us:`_pandito_             2`
`463.`:flag_de:`nasuper               2`
`463.`:flag_us:`Xeon                  2`
`463.`:flag_kr:`galaxyTDS             2`
`463.`:flag_us:`Jason2890             2`
`463.`:flag_fr:`Ninicodeme            2`
`463.`:flag_us:`Riidolsk              2`
`463.`:flag_ca:`N97_RVH               2`
`463.`:flag_de:`BloodDerg             2`
`463.`:flag_us:`Mchan338              2`
`463.`:flag_au:`RygelXVI              2`
`463.`:flag_us:`Wavuvi                2`
`463.`:flag_us:`barnowl               2`
`463.`:flag_fr:`Badaxis               2`
`463.`:flag_us:`Kinighos              2`
`463.`:flag_us:`_-_STAR_fox_-_        2`
`463.`:flag_us:`chryoyo               2`
`463.`:flag_es:`XabiXroSS             2`
`463.`:flag_au:`MrVirusYT             2`
`463.`:flag_pt:`Pushyena              2`
`463.`:flag_us:`alaris                2`
`463.`:flag_us:`SHiFT                 2`
`463.`:flag_rs:`unfried               2`
`488.`:flag_us:`FuriousFire201        1`
`488.`:flag_kr:`PigRank               1`
`488.`:flag_pl:`Shiro                 1`
`488.`:united_nations:`silliest              1`
`488.`:flag_nl:`Kaopoke               1`
`488.`:flag_ch:`andypanther           1`
`488.`:flag_us:`blipblo               1`
`488.`:flag_se:`Jackeking             1`
`488.`:flag_ad:`Dangaster             1`
`488.`:flag_se:`MiBo                  1`
`488.`:flag_us:`TheSensinator         1`
`488.`:flag_nl:`florrat2              1`
`488.`:flag_vg:`KarixYT               1`
`488.`:flag_nl:`Mawfeen               1`
`488.`:flag_us:`abney317              1`
`488.`:flag_tr:`Vador                 1`
`488.`:flag_us:`BFrobber              1`
`488.`:flag_us:`KeemoTherapy          1`
`488.`:flag_us:`YoBGS                 1`
`488.`:flag_es:`PabloDiazViolin       1`
`488.`:flag_au:`ZenKih                1`
`488.`:flag_us:`JeffLemon             1`
`488.`:flag_it:`TrueChqos             1`
`488.`:flag_us:`MarioManTAW           1`
`488.`:flag_us:`Vridend               1`
`488.`:flag_us:`TrialsOfDeath         1`
`488.`:flag_br:`QueijoExpirado        1`
`488.`:flag_us:`MaySeaOh              1`
`488.`:flag_us:`powerbread            1`
`488.`:united_nations:`jannik323             1`
`488.`:flag_ca:`Kyman                 1`
`519.`:flag_co:`SBells27              0`
`519.`:flag_us:`Jrjrdy16              0`
`519.`:flag_no:`Gnist                 0`
`519.`:flag_pl:`coachen               0`
`519.`:flag_us:`wakejald              0`
`519.`:flag_nl:`PainTensei            0`
`519.`:flag_au:`Echo                  0`
`519.`:flag_gb:`Nick1227              0`
`519.`:flag_us:`Kiwiener              0`
`519.`:united_nations:`mossranking           0`
