`367.`:flag_us:`sage211              17`
`376.`:flag_nr:`Shinboy              16`
`376.`:flag_bh:`Khalooody            16`
`376.`:flag_us:`Zacc                 16`
`376.`:flag_eo:`Massive              16`
`376.`:flag_us:`Mchan338             16`
`376.`:flag_ca:`Tark                 16`
`376.`:flag_ca:`mooplaysgames        16`
`383.`:flag_fi:`ALZERI28             15`
`383.`:united_nations:`headjakk             15`
`383.`:flag_us:`totol                15`
`383.`:flag_ca:`tridenttail          15`
`383.`:flag_us:`JoeDamillio          15`
`383.`:flag_jp:`Tonkotsu             15`
`383.`:flag_us:`PoZitron             15`
`383.`:flag_au:`A1Major              15`
`383.`:flag_au:`Echo                 15`
`392.`:flag_ch:`andypanther          14`
`392.`:flag_ca:`Cads                 14`
`392.`:flag_bh:`PlatonicGuy          14`
`392.`:flag_us:`pilferspitfire       14`
`392.`:flag_nl:`Kinnin11             14`
`397.`:flag_id:`aeryuu               13`
`397.`:flag_us:`qwertylool           13`
`397.`:flag_us:`OneCoolMan           13`
`397.`:flag_se:`Freezard             13`
`397.`:flag_us:`ROMaster2            13`
`402.`:flag_se:`Chainsawkitten       12`
`402.`:flag_jp:`gotutiyan            12`
`402.`:flag_us:`amazingpikachu_37    12`
`402.`:flag_cz:`jjen                 12`
`402.`:flag_us:`ZELLLOOO             12`
`402.`:flag_pt:`_hampter_            12`
`408.`:flag_no:`thisishowmymindworks 11`
`408.`:flag_us:`Gio1237              11`
`408.`:united_nations:`JayKayGame           11`
`408.`:flag_eu:`1                    11`
`408.`:flag_us:`lombre914            11`
`408.`:united_nations:`KMMA                 11`
`414.`:flag_us:`Perna64              10`
`414.`:united_nations:`Yuidesu              10`
`414.`:flag_no:`Gnist                10`
`414.`:flag_fr:`xerneas-yveltal      10`
`414.`:flag_ph:`Octo                 10`
`414.`:united_nations:`VanillaMndk          10`
`414.`:flag_ca:`InsaneJetman         10`
`414.`:flag_ca:`337Short337          10`
`414.`:flag_fr:`makeal               10`
`414.`:flag_vh:`TransparentBlue      10`
`414.`:flag_es:`KingBoo              10`
`414.`:flag_jp:`konitama             10`
`414.`:flag_us:`randomidiot13        10`
`427.`:flag_us:`MrMountainMan         9`
`427.`:flag_be:`GroMic                9`
`427.`:flag_ee:`Uniwersal             9`
`427.`:flag_us:`MetalString           9`
`427.`:flag_fr:`neropse               9`
`427.`:flag_ca:`MannedTooth           9`
`427.`:flag_us:`NinjaDelphox          9`
`427.`:flag_cl:`Pandora               9`
`427.`:flag_ru:`alex2007              9`
`427.`:flag_us:`wakejald              9`
`427.`:flag_us:`BFrobber              9`
`427.`:flag_es:`PabloDiazViolin       9`
`427.`:united_nations:`Zuhiy                 9`
`427.`:flag_us:`quane                 9`
`441.`:flag_gb:`CallBal               8`
`441.`:flag_us:`jammitch              8`
`441.`:flag_pl:`LupoLindsay           8`
`441.`:flag_us:`Pidgey                8`
`441.`:flag_dk:`Sirbrute              8`
`441.`:flag_jp:`Hitshee_Spingear      8`
`441.`:flag_us:`barchun               8`
`448.`:flag_ro:`duckle                7`
`448.`:flag_at:`rphxx                 7`
`448.`:flag_fi:`TuplaPekoni           7`
`448.`:flag_us:`Riidolsk              7`
`448.`:flag_jp:`Temug                 7`
`448.`:flag_us:`burninrubber0         7`
`448.`:flag_fi:`Remo                  7`
`448.`:flag_gb:`Mr.Blonde             7`
`448.`:flag_us:`Msbmteam              7`
`448.`:flag_gb:`Billy_Bob             7`
`448.`:united_nations:`Pessimism             7`
`448.`:flag_gb:`Nick1227              7`
`448.`:flag_us:`Solderq35             7`
`461.`:flag_de:`Nordicboa             6`
`461.`:flag_no:`Lezzy                 6`
`461.`:flag_il:`Yarmiplay             6`
`461.`:flag_us:`Jason2890             6`
`461.`:flag_us:`Bloon                 6`
`461.`:flag_it:`Pikalex04             6`
`461.`:flag_jp:`Val_JP                6`
`461.`:flag_us:`RileySFPc             6`
`461.`:flag_us:`KolIsTehMan           6`
`461.`:flag_us:`BlueRunsFast          6`
`461.`:flag_ru:`Brian                 6`
`461.`:flag_ca:`valley172             6`
`461.`:flag_au:`MrVirusYT             6`
`474.`:united_nations:`silliest              5`
`474.`:flag_nl:`Kaopoke               5`
`474.`:flag_ar:`revolucion            5`
`474.`:flag_fi:`Bloody                5`
`474.`:flag_au:`RygelXVI              5`
`474.`:flag_nl:`PainTensei            5`
`474.`:flag_us:`meleewaluigi          5`
`474.`:flag_ca:`Kyman                 5`
`474.`:flag_us:`Turtlespyder          5`
`483.`:flag_fr:`Awake                 4`
`483.`:flag_us:`Xeon                  4`
`483.`:flag_kr:`galaxyTDS             4`
`483.`:flag_us:`Thomastd              4`
`483.`:flag_us:`abney317              4`
`483.`:flag_us:`MarioManTAW           4`
`483.`:flag_fr:`NewNickName0          4`
`483.`:flag_es:`XabiXroSS             4`
`483.`:flag_pt:`Pushyena              4`
