`397.`:flag_br:`LD_SPEEDRUNS          9`
`404.`:flag_ca:`KingJ0444             8`
`404.`:flag_gb:`Hypnoshark            8`
`404.`:flag_fr:`DracaarysTrophy       8`
`404.`:flag_nl:`Riekelt               8`
`404.`:flag_ru:`HosteL                8`
`404.`:flag_us:`MeesterTweester       8`
`404.`:flag_ca:`tridenttail           8`
`404.`:flag_be:`Thextera              8`
`404.`:flag_ca:`NESCardinality        8`
`404.`:flag_us:`BlueInfinity22        8`
`404.`:flag_us:`Odme_                 8`
`415.`:flag_us:`Bat                   7`
`415.`:flag_us:`lackattack            7`
`415.`:flag_us:`Sundex                7`
`415.`:flag_us:`Frikkinfriks14        7`
`415.`:flag_ru:`JosephHTobinJr        7`
`415.`:flag_ru:`Tezur0                7`
`415.`:flag_it:`ivanpaduano           7`
`415.`:flag_us:`Keeganator            7`
`415.`:flag_br:`Metaller              7`
`415.`:united_nations:`Zuhiy                 7`
`415.`:flag_pt:`Pushyena              7`
`426.`:flag_us:`GLand                 6`
`426.`:flag_vh:`Naegi                 6`
`426.`:flag_mx:`Mingura666            6`
`426.`:flag_us:`TGH                   6`
`426.`:flag_fr:`xerneas-yveltal       6`
`426.`:flag_us:`Wipeoutjack7          6`
`426.`:flag_br:`victu                 6`
`426.`:flag_us:`P1ZZAC4T              6`
`426.`:flag_mk:`Bogdan_mk             6`
`426.`:flag_us:`vandust               6`
`426.`:flag_es:`XabiXroSS             6`
`426.`:flag_eu:`1                     6`
`426.`:flag_us:`Plumato               6`
`439.`:flag_us:`Rallis                5`
`439.`:flag_us:`swordsmankirby        5`
`439.`:flag_de:`MarvJungs             5`
`439.`:flag_ca:`Deln                  5`
`439.`:united_nations:`infinitemystery       5`
`439.`:flag_eu:`rythin                5`
`439.`:flag_ua:`Pikachu               5`
`439.`:flag_us:`PunchSh0t             5`
`439.`:flag_us:`TheReverserOfTime     5`
`439.`:flag_us:`starsmiley            5`
`439.`:united_nations:`B0SSCAT               5`
`450.`:flag_us:`NachoBrado            4`
`450.`:flag_us:`Zennan                4`
`450.`:flag_gb:`Punchy                4`
`450.`:flag_de:`360Chrism             4`
`450.`:flag_us:`Storster              4`
`450.`:flag_us:`Beanos                4`
`450.`:flag_gb:`RebelDragon95         4`
`450.`:flag_de:`berlindude1           4`
`450.`:flag_us:`Nerd_Squared          4`
`450.`:flag_us:`Francesco             4`
`450.`:flag_us:`OddPandemonium        4`
`461.`:flag_us:`smartalec24           3`
`461.`:flag_us:`JoePulito             3`
`461.`:flag_us:`PeterAfro             3`
`461.`:flag_us:`Riko                  3`
`461.`:flag_es:`JuegAriel             3`
`461.`:flag_us:`ZeeGee_               3`
`461.`:flag_us:`TDP_320               3`
`461.`:flag_us:`Toad22484             3`
`461.`:flag_ca:`MagicK                3`
`461.`:flag_ua:`Neural89              3`
`461.`:flag_br:`Danimed               3`
`461.`:flag_us:`btrim                 3`
`461.`:flag_pr:`JustLeeBelmont        3`
`461.`:united_nations:`Flutter               3`
`461.`:flag_us:`FlannelKat            3`
`461.`:flag_ie:`Dark_Matter9997       3`
`461.`:flag_au:`AeonFrodo             3`
`461.`:united_nations:`KMMA                  3`
`479.`:flag_us:`blipblo               2`
`479.`:flag_us:`Ecdycis               2`
`479.`:flag_us:`Mchan338              2`
`479.`:flag_ua:`Fatal_King            2`
`479.`:flag_de:`Xein64                2`
`479.`:flag_jp:`Tonkotsu              2`
`479.`:flag_us:`authorblues           2`
