`337.`:flag_ca:`InsaneJetman         12`
`337.`:flag_dk:`Expired_Food         12`
`337.`:flag_us:`RbdJellyfish         12`
`337.`:flag_au:`AeonFrodo            12`
`337.`:flag_id:`Insert               12`
`347.`:flag_us:`astrolite            11`
`347.`:flag_gb:`Vapo                 11`
`347.`:flag_us:`Zennan               11`
`347.`:flag_it:`Niloquì              11`
`347.`:flag_pl:`MaximalMegaminx      11`
`347.`:flag_dk:`Sirbrute             11`
`347.`:flag_us:`Riko                 11`
`347.`:flag_au:`hsblue               11`
`347.`:flag_us:`PoZitron             11`
`347.`:flag_br:`QueijoExpirado       11`
`357.`:flag_ru:`Yumashev             10`
`357.`:flag_us:`Msbmteam             10`
`357.`:flag_us:`Wavuvi               10`
`357.`:flag_es:`PabloDiazViolin      10`
`357.`:flag_gb:`Pezzah               10`
`357.`:flag_ch:`adrianus             10`
`357.`:flag_us:`OddPandemonium       10`
`364.`:flag_de:`RunStrafe             9`
`364.`:flag_fr:`DracaarysTrophy       9`
`364.`:flag_us:`qwertylool            9`
`364.`:flag_dk:`Ricky                 9`
`364.`:united_nations:`headjakk              9`
`364.`:flag_us:`totol                 9`
`364.`:flag_ua:`Fatal_King            9`
`364.`:flag_nl:`Mawfeen               9`
`364.`:flag_gb:`Billy_Bob             9`
`364.`:flag_pl:`Megami_infini         9`
`364.`:flag_br:`Danimed               9`
`364.`:united_nations:`Flutter               9`
`364.`:flag_us:`barchun               9`
`364.`:flag_rs:`unfried               9`
`378.`:flag_us:`MrMountainMan         8`
`378.`:flag_us:`GLand                 8`
`378.`:flag_kr:`Majoog                8`
`378.`:flag_ca:`Marc-André_Morin      8`
`378.`:flag_no:`thisishowmymindworks  8`
`378.`:flag_aq:`Eclipsed              8`
`378.`:flag_us:`Beanos                8`
`378.`:flag_de:`Xein64                8`
`378.`:flag_us:`Gio1237               8`
`378.`:flag_fr:`makeal                8`
`378.`:flag_us:`Bokonon_Lives         8`
`378.`:flag_us:`Solderq35             8`
`378.`:flag_us:`starsmiley            8`
`391.`:flag_gb:`Really_Tall           7`
`391.`:flag_jp:`MXF                   7`
`391.`:flag_gb:`StarrlightSims        7`
`391.`:flag_us:`Thog_n                7`
`391.`:united_nations:`Jaaay                 7`
`391.`:flag_fr:`Ninicodeme            7`
`391.`:flag_us:`NinjaDelphox          7`
`391.`:flag_gb:`Mr.Blonde             7`
`391.`:flag_gb:`Mortar                7`
`391.`:flag_ar:`revolucion            7`
`391.`:flag_fi:`Bloody                7`
`391.`:flag_us:`TheLemonyBard         7`
`391.`:flag_us:`vandust               7`
`391.`:flag_nl:`MeridianPrime         7`
`391.`:flag_pt:`Pushyena              7`
`391.`:united_nations:`Snake5                7`
`407.`:flag_us:`burninrubber0         6`
`407.`:flag_us:`OneCoolMan            6`
`407.`:flag_us:`Bloon                 6`
`407.`:flag_us:`ZeeGee_               6`
`407.`:flag_ca:`tridenttail           6`
`407.`:flag_us:`buffalax              6`
`407.`:flag_ua:`Neural89              6`
`407.`:flag_sr:`k0zzx                 6`
`407.`:flag_us:`TrialsOfDeath         6`
`407.`:flag_us:`Sl0thboy78YT          6`
`417.`:flag_us:`Perna64               5`
`417.`:flag_us:`MarioMario7829        5`
`417.`:flag_fr:`Vakala                5`
`417.`:flag_us:`themorgue             5`
`417.`:flag_kr:`galaxyTDS             5`
`417.`:flag_fi:`Remo                  5`
`417.`:flag_us:`DarkSR                5`
`417.`:flag_us:`TheSensinator         5`
`417.`:flag_nl:`Kinnin11              5`
`417.`:flag_us:`Francesco             5`
`417.`:flag_us:`ebloodycandy          5`
`417.`:flag_us:`Plumato               5`
`429.`:flag_us:`NachoBrado            4`
`429.`:flag_vh:`Tron_Javolta          4`
`429.`:flag_fr:`neropse               4`
`429.`:flag_jp:`Tonkotsu              4`
`429.`:flag_us:`TDP_320               4`
`429.`:flag_cz:`jjen                  4`
`429.`:flag_mx:`GhostSenpai           4`
`429.`:united_nations:`RantronBomb           4`
`429.`:flag_ie:`Dark_Matter9997       4`
`429.`:flag_ca:`Vidtendo              4`
`429.`:flag_br:`JARP                  4`
`440.`:flag_vh:`Naegi                 3`
`440.`:flag_gb:`LilJapKid             3`
`440.`:flag_de:`nasuper               3`
`440.`:flag_gb:`Tethys                3`
`440.`:flag_it:`Pikalex04             3`
`440.`:flag_ca:`P4ntz                 3`
`440.`:flag_us:`eddiecatgaming        3`
`440.`:flag_us:`Kinighos              3`
`440.`:flag_ru:`Brian                 3`
`440.`:flag_us:`SHiFT                 3`
`450.`:flag_jp:`Rupa                  2`
`450.`:flag_fr:`Awake                 2`
`450.`:flag_bh:`PlatonicGuy           2`
`450.`:flag_us:`blipblo               2`
`450.`:flag_de:`MarvJungs             2`
`450.`:flag_us:`Pidgey                2`
`450.`:flag_ie:`Flewb                 2`
`450.`:flag_us:`Mchan338              2`
`450.`:flag_us:`bluerapids12          2`
`450.`:flag_us:`amazingpikachu_37     2`
`450.`:flag_us:`barnowl               2`
`450.`:flag_us:`BlueInfinity22        2`
`450.`:flag_us:`Caidren               2`
`450.`:flag_us:`robthegamer115        2`
`450.`:united_nations:`tayyip                2`
`450.`:flag_us:`bellring              2`
`450.`:flag_us:`_-_STAR_fox_-_        2`
`450.`:flag_us:`Vridend               2`
`450.`:flag_us:`chryoyo               2`
`450.`:flag_us:`alaris                2`
`450.`:flag_us:`ROMaster2             2`
`450.`:flag_us:`lombre914             2`
`472.`:flag_us:`_pandito_             1`
`472.`:flag_de:`YTKoopaPlayer         1`
`472.`:flag_de:`BloodDerg             1`
`472.`:flag_us:`wakejald              1`
`472.`:flag_us:`roblox8192            1`
`472.`:flag_us:`RileySFPc             1`
`472.`:flag_fr:`Badaxis               1`
`472.`:flag_au:`Tinonb                1`
`472.`:flag_us:`BFrobber              1`
`472.`:flag_us:`YoBGS                 1`
`472.`:flag_es:`KingBoo               1`
`472.`:flag_vn:`hypv                  1`
`472.`:flag_us:`Keeganator            1`
`472.`:flag_us:`meleewaluigi          1`
`472.`:flag_es:`XabiXroSS             1`
`472.`:flag_au:`MrVirusYT             1`
`472.`:flag_us:`powerbread            1`
`472.`:flag_pt:`WindMark              1`
`490.`:flag_us:`FuriousFire201        0`
`490.`:flag_ro:`duckle                0`
`490.`:flag_id:`aeryuu                0`
`490.`:flag_de:`Nordicboa             0`
`490.`:flag_kr:`PigRank               0`
`490.`:flag_pl:`Shiro                 0`
`490.`:united_nations:`silliest              0`
`490.`:flag_nl:`Kaopoke               0`
`490.`:flag_ch:`andypanther           0`
`490.`:flag_be:`GroMic                0`
`490.`:flag_co:`SBells27              0`
`490.`:flag_gb:`CallBal               0`
`490.`:flag_se:`Jackeking             0`
`490.`:flag_fi:`TuplaPekoni           0`
`490.`:flag_ad:`Dangaster             0`
`490.`:flag_us:`Riidolsk              0`
`490.`:flag_us:`Jrjrdy16              0`
`490.`:flag_no:`Gnist                 0`
`490.`:flag_ca:`MannedTooth           0`
`490.`:flag_pl:`Kochen                0`
`490.`:flag_se:`MiBo                  0`
`490.`:flag_ca:`N97_RVH               0`
`490.`:flag_vg:`KarixYT               0`
`490.`:flag_us:`ThePKing              0`
`490.`:flag_au:`RygelXVI              0`
`490.`:flag_tr:`Vador                 0`
`490.`:flag_se:`Freezard              0`
`490.`:flag_us:`KeemoTherapy          0`
`490.`:flag_it:`TrueChqos             0`
`490.`:flag_us:`MarioManTAW           0`
`490.`:flag_mk:`Bogdan_mk             0`
`490.`:flag_nl:`PainTensei            0`
`490.`:flag_us:`TheReverserOfTime     0`
`490.`:flag_au:`Echo                  0`
`490.`:flag_gb:`Nick1227              0`
`490.`:flag_us:`MaySeaOh              0`
`490.`:flag_us:`Kiwiener              0`
`490.`:flag_eu:`1                     0`
`490.`:united_nations:`jannik323             0`
`490.`:flag_ca:`Kyman                 0`
`490.`:united_nations:`mossranking           0`
